1976 rm 1977 rm 1978 rm 1979 rm 1980 rm 1981 rm 1982 rm 1983 rm 1984 rm 1985 rm 1986 rm 1987 rm 1988 rm 1989 rm 1990 rm 1991 rm 1992 rm 1993 rm 1994 rm 1995 rm
415 8 415 8 420 8 408 8 418 8 417 8 413 8 413 8 426 8 413 8 420 8 409 8 420 8 406 8 407 8 412 8 409 8 418 8 415 8 417 8
413 8 412 8 415 8 331 8 413 8 414 8 406 8 410 8 425 8 412 8 416 8 406 8 414 8 331 8 401 8 410 8 405 8 411 8 410 8 408 8
401 8 401 8 410 8 329 8 407 8 406 8 401 8 407 8 418 8 406 8 411 8 331 8 407 8 327 8 325 8 404 8 330 8 402 8 404 8 404 8
402 8 410 8 412 8 331 8 408 8 409 8 401 8 407 8 417 8 408 8 410 9 404 9 412 9 328 9 327 9 406 9 401 9 404 9 407 9 405 9
415 8 415 8 424 8 409 8 419 8 423 8 417 8 414 8 428 8 415 8 421 8 415 8 422 8 409 8 409 8 415 8 410 8 421 8 418 8 418 8
414 8 413 8 418 8 406 8 414 8 414 8 410 8 412 8 424 8 414 8 418 8 408 8 419 8 404 8 404 8 410 8 406 8 414 8 414 8 414 8
329 8 328 8 410 8 328 8 405 8 330 8 327 8 405 8 415 8 405 8 408 8 326 8 405 8 326 8 324 8 331 8 326 8 327 8 402 8 405 8
330 8 328 8 408 8 327 8 405 8 330 8 328 8 404 8 414 8 404 8 406 9 325 9 404 8 326 8 322 8 329 8 322 8 325 8 401 9 402 9
405 8 405 8 411 8 329 8 409 8 408 8 401 8 407 8 420 8 407 8 410 9 328 9 406 9 327 9 325 9 405 9 331 9 402 9 405 9 405 9
330 8 406 8 410 8 330 8 406 8 408 8 330 8 407 8 417 8 407 8 409 9 402 9 412 9 324 9 325 9 404 9 329 9 402 9 405 9 404 9
326 8 328 8 406 8 329 8 401 8 330 8 323 8 402 8 412 8 329 8 401 9 326 9 403 9 316 9 317 9 328 9 324 9 327 9 331 9 327 9
325 8 326 8 405 8 327 8 330 8 328 8 323 8 331 8 411 8 328 8 401 8 325 8 403 8 317 8 317 8 328 8 321 8 326 8 331 8 327 8
401 8 405 8 414 8 401 8 408 8 408 8 401 8 409 8 419 8 406 8 412 8 405 8 414 8 329 8 328 8 405 8 330 8 403 8 406 8 406 8
326 8 325 8 407 8 327 8 401 8 329 8 327 8 404 8 412 8 330 8 404 8 326 8 404 8 325 8 320 8 329 8 324 8 326 8 401 8 331 8
326 8 326 8 408 8 326 8 405 8 402 8 326 8 405 8 416 8 403 8 408 9 325 9 403 9 320 9 321 9 401 9 328 9 404 9 404 9 402 9
331 8 331 8 409 8 330 8 403 8 328 8 324 8 403 8 412 8 330 8 403 9 325 9 405 9 325 9 322 9 401 9 328 9 402 9 403 9 403 9
320 8 322 8 403 8 325 8 331 8 326 8 323 8 401 8 406 8 327 8 330 8 325 8 403 8 321 8 317 8 330 8 326 8 331 8 403 8 331 8
323 8 322 8 406 8 329 8 331 8 326 8 323 8 403 8 406 8 328 8 330 8 326 8 403 8 321 8 320 8 331 8 324 8 330 8 402 8 401 8
