l_code,l_name,year,day,rm
678,八丈島,2001,406,9
678,八丈島,2002,406,9
678,八丈島,2003,404,9
678,八丈島,2004,401,9
678,八丈島,2005,418,9
678,八丈島,2006,403,9
678,八丈島,2007,-,-
678,八丈島,2008,407,9
678,八丈島,2009,418,9
678,八丈島,2010,-,-
678,八丈島,2011,-,-
678,八丈島,2012,-,-
678,八丈島,2013,-,-
678,八丈島,2014,-,-
678,八丈島,2015,-,-
740,西郷,1996,419,8
740,西郷,1997,408,8
740,西郷,1998,405,8
740,西郷,1999,409,8
740,西郷,2000,412,8
740,西郷,2001,408,8
740,西郷,2002,401,8
740,西郷,2003,409,8
740,西郷,2004,402,8
740,西郷,2005,412,8
740,西郷,2006,409,8
740,西郷,2007,410,8
740,西郷,2008,408,8
740,西郷,2009,-,-
740,西郷,2010,-,-
740,西郷,2011,-,-
740,西郷,2012,-,-
740,西郷,2013,-,-
740,西郷,2014,-,-
740,西郷,2015,-,-
741,松江,1996,414,8
741,松江,1997,404,8
741,松江,1998,404,8
741,松江,1999,406,8
741,松江,2000,408,8
741,松江,2001,406,8
741,松江,2002,330,8
741,松江,2003,406,8
741,松江,2004,331,8
741,松江,2005,408,8
741,松江,2006,406,8
741,松江,2007,403,8
741,松江,2008,406,8
741,松江,2009,406,8
741,松江,2010,403,8
741,松江,2011,412,8
741,松江,2012,410,8
741,松江,2013,331,8
741,松江,2014,402,8
741,松江,2015,402,8
744,米子,1996,411,8
744,米子,1997,404,8
744,米子,1998,331,8
744,米子,1999,403,8
744,米子,2000,408,8
744,米子,2001,401,8
744,米子,2002,328,8
744,米子,2003,406,8
744,米子,2004,329,8
744,米子,2005,408,8
744,米子,2006,407,8
744,米子,2007,403,8
744,米子,2008,405,8
744,米子,2009,-,-
744,米子,2010,-,-
744,米子,2011,-,-
744,米子,2012,-,-
744,米子,2013,-,-
744,米子,2014,-,-
744,米子,2015,-,-
746,鳥取,1996,414,9
746,鳥取,1997,404,9
746,鳥取,1998,331,9
746,鳥取,1999,401,9
746,鳥取,2000,409,9
746,鳥取,2001,403,9
746,鳥取,2002,330,9
746,鳥取,2003,407,9
746,鳥取,2004,329,9
746,鳥取,2005,408,9
746,鳥取,2006,407,9
746,鳥取,2007,408,9
746,鳥取,2008,404,9
746,鳥取,2009,407,9
746,鳥取,2010,404,9
746,鳥取,2011,408,9
746,鳥取,2012,410,9
746,鳥取,2013,329,9
746,鳥取,2014,402,9
746,鳥取,2015,401,9
747,豊岡,1996,415,8
747,豊岡,1997,409,8
747,豊岡,1998,403,8
747,豊岡,1999,406,8
747,豊岡,2000,412,8
747,豊岡,2001,404,8
